,Name,contract_expiration_date,market_value_in_eur,current_club_domestic_competition_id,date_of_birth
1454,Liam Kelly,2024-05-31 00:00:00,700000.0,SC1,1996-01-23
1455,Emre Kılınç,2026-06-30 00:00:00,2300000.0,TR1,1994-08-23
1456,Barrie McKay,2025-05-31 00:00:00,800000.0,SC1,1994-12-30
1457,Solly March,2026-06-30 00:00:00,22000000.0,GB1,1994-07-20
1458,Pablo Marí,2026-06-30 00:00:00,5000000.0,IT1,1993-08-31
1459,Vladyslav Kabaev,2026-06-30 00:00:00,1500000.0,UKR1,1995-09-01
1460,Willian Arão,2025-06-30 00:00:00,3000000.0,GR1,1992-03-12
1461,Paulinho,2026-06-30 00:00:00,6500000.0,PO1,1992-11-09
1462,Liam Donnelly,2025-05-31 00:00:00,300000.0,SC1,1996-03-07
1463,Darwin Machís,2024-06-30 00:00:00,2500000.0,ES1,1993-02-07
1464,Badou Ndiaye,2024-06-30 00:00:00,1000000.0,TR1,1990-10-27
1465,Mansur,2025-06-30 00:00:00,400000.0,PO1,1993-04-17
1466,Kiki Kouyaté,2026-06-30 00:00:00,5000000.0,FR1,1997-04-15
1467,Artem Timofeev,2024-06-30 00:00:00,2500000.0,RU1,1994-01-12
1468,Lee Ashcroft,2025-05-31 00:00:00,250000.0,SC1,1993-08-29
1469,Jhonatan,2025-06-30 00:00:00,800000.0,PO1,1991-05-08
1470,Halil Akbunar,2024-06-30 00:00:00,1700000.0,TR1,1993-11-09
1471,Dmytro Myshnyov,2024-06-30 00:00:00,600000.0,UKR1,1994-01-26
1472,Roger Martí,2026-06-30 00:00:00,2000000.0,ES1,1991-01-03
1473,Diamantis Chouchoumis,2025-06-30 00:00:00,300000.0,GR1,1994-07-17
1474,Djibril Sow,2028-06-30 00:00:00,18000000.0,ES1,1997-02-06
1475,Dimitrios Pelkas,2024-06-30 00:00:00,2300000.0,TR1,1993-10-26
1476,Adam Webster,2026-06-30 00:00:00,20000000.0,GB1,1995-01-04
1477,Álex Remiro,2027-06-30 00:00:00,25000000.0,ES1,1995-03-24
1478,Rubén García,2024-06-30 00:00:00,3000000.0,ES1,1993-07-14
1479,Alireza Jahanbakhsh,2024-06-30 00:00:00,3700000.0,NL1,1993-08-11
1480,Émerson,2024-06-30 00:00:00,1200000.0,RU1,1995-10-07
1481,Zymer Bytyqi,2026-06-30 00:00:00,2000000.0,TR1,1996-09-11
1482,Lucas Torró,2027-06-30 00:00:00,8000000.0,ES1,1994-07-19
1483,Mykyta Burda,2025-06-30 00:00:00,600000.0,UKR1,1995-03-24
1484,Artem Gabelok,2025-06-30 00:00:00,500000.0,UKR1,1995-01-02
1485,Vyacheslav Tankovskyi,2026-06-30 00:00:00,700000.0,UKR1,1995-08-16
1486,Daniel Amartey,2026-06-30 00:00:00,8500000.0,TR1,1994-12-21
1487,Ewerton,2024-06-30 00:00:00,600000.0,PO1,1992-12-01
1488,Carljohan Eriksson,2026-06-30 00:00:00,350000.0,DK1,1995-04-25
1489,Richard Jensen,2026-06-30 00:00:00,750000.0,SC1,1996-03-17
1490,Nikita Chernov,2026-12-31 00:00:00,1500000.0,RU1,1996-01-14
1491,Óliver Torres,2024-06-30 00:00:00,6000000.0,ES1,1994-11-10
1492,Nick Olij,2026-06-30 00:00:00,4000000.0,NL1,1995-08-01
1493,Daley Sinkgraven,2025-06-30 00:00:00,1500000.0,ES1,1995-07-04
1494,Thomas Foket,2025-06-30 00:00:00,7000000.0,FR1,1994-09-25
1495,Calum Chambers,2025-06-30 00:00:00,5000000.0,GB1,1995-01-20
1496,Aleksandr Vasyutin,2024-06-30 00:00:00,400000.0,RU1,1995-03-04
1497,Haris Hajradinovic,2026-06-30 00:00:00,2500000.0,TR1,1994-02-18
1498,Lukas Klostermann,2028-06-30 00:00:00,8000000.0,L1,1996-06-03
1499,Tom King,2027-06-30 00:00:00,200000.0,GB1,1995-03-09
1500,Mijat Gacinovic,2026-06-30 00:00:00,3500000.0,GR1,1995-02-08
1501,Adrien Thomasson,2026-06-30 00:00:00,6000000.0,FR1,1993-12-10
1502,Stefano Sensi,2024-06-30 00:00:00,4000000.0,IT1,1995-08-05
1503,Lucas Olaza,2025-06-30 00:00:00,3000000.0,RU1,1994-07-21
1504,Ricki Lamie,2024-05-31 00:00:00,325000.0,SC1,1993-06-20
1505,Felipe Avenatti,2024-06-30 00:00:00,700000.0,BE1,1993-04-26
1506,Riechedly Bazoer,2025-06-30 00:00:00,4000000.0,NL1,1996-10-12
1507,Carlos Fernández,2026-06-30 00:00:00,3000000.0,ES1,1996-05-22
1508,Fabien Antunes,2024-06-30 00:00:00,150000.0,GR1,1991-11-19
1509,Jérémie Boga,2027-06-30 00:00:00,15000000.0,FR1,1997-01-03
1510,İrfan Can Kahveci,2025-06-30 00:00:00,9000000.0,TR1,1995-07-15
1511,Alaaddin Okumuş,2024-06-30 00:00:00,400000.0,TR1,1995-08-23
1512,Deniz Türüç,2026-06-30 00:00:00,2100000.0,TR1,1993-01-29
1513,Nacho Vidal,2024-06-30 00:00:00,2500000.0,ES1,1995-01-24
1514,Aleksey Sutormin,2024-06-30 00:00:00,1500000.0,RU1,1994-01-10
1515,Hakim Ziyech,2024-06-30 00:00:00,12000000.0,TR1,1993-03-19
1516,Neal Maupay,2024-06-30 00:00:00,10000000.0,GB1,1996-08-14
1517,Ilya Pomazun,2024-06-30 00:00:00,2500000.0,RU1,1996-08-16
1518,Guilherme,2024-06-30 00:00:00,1000000.0,TR1,1990-04-01
1519,Patrik Hrosovsky,2025-06-30 00:00:00,4500000.0,BE1,1992-04-22
1520,Khyzyr Appaev,2024-06-30 00:00:00,300000.0,RU1,1990-01-27
1521,André Römer,2026-06-30 00:00:00,1000000.0,DK1,1993-07-18
1522,Ben Osborn,2024-06-30 00:00:00,1000000.0,GB1,1994-08-05
1523,Mikael Mandron,2025-05-31 00:00:00,150000.0,SC1,1994-10-11
1524,Charles Dunne,2024-05-31 00:00:00,350000.0,SC1,1993-02-13
1525,Vladimir Iljin,2024-06-30 00:00:00,800000.0,RU1,1992-05-20
1526,Douglas Santos,2026-06-30 00:00:00,15000000.0,RU1,1994-03-22
1527,Issiaga Sylla,2025-06-30 00:00:00,2500000.0,FR1,1994-01-01
1528,André Gomes,2024-06-30 00:00:00,12000000.0,GB1,1993-07-30
1529,Bryan Olivera,,300000.0,GR1,1994-03-11
1530,Ali Yaşar,2025-06-30 00:00:00,350000.0,TR1,1995-03-08
1531,Djené,2025-06-30 00:00:00,4000000.0,ES1,1991-12-31
1532,Furkan Soyalp,2025-06-30 00:00:00,1100000.0,TR1,1995-06-12
1533,Kevin Vázquez,2025-06-30 00:00:00,1000000.0,ES1,1993-03-23
1534,Lucas Vázquez,2024-06-30 00:00:00,5000000.0,ES1,1991-07-01
1535,Joaquín Fernández,2025-06-30 00:00:00,2000000.0,TR1,1996-05-31
1536,José Gayà,2027-06-30 00:00:00,30000000.0,ES1,1995-05-25
1537,Kiril Despodov,2027-06-30 00:00:00,4500000.0,GR1,1996-11-11
1538,Mikkel Desler,2024-06-30 00:00:00,3000000.0,FR1,1995-02-19
1539,Léo Baptistão,2026-06-30 00:00:00,1800000.0,ES1,1992-08-26
1540,Sergiy Shestakov,2024-06-30 00:00:00,150000.0,UKR1,1990-04-12
1541,Roman Yaremchuk,2024-06-30 00:00:00,3000000.0,ES1,1995-11-27
1542,Anton Shvets,2026-06-30 00:00:00,2000000.0,RU1,1993-04-26
1543,Ruslan Stepanyuk,2024-06-30 00:00:00,600000.0,UKR1,1992-01-16
1544,Thomas Strakosha,2026-06-30 00:00:00,3000000.0,GB1,1995-03-19
1545,Srdjan Babic,2026-06-30 00:00:00,4000000.0,RU1,1996-04-22
1546,Marko Grujic,2026-06-30 00:00:00,8000000.0,PO1,1996-04-13
1547,Florent Mollet,2025-06-30 00:00:00,2000000.0,FR1,1991-11-19
1548,Casper Højer,2026-06-30 00:00:00,1700000.0,TR1,1994-11-20
1549,Gökhan Akkan,2024-06-30 00:00:00,1800000.0,TR1,1995-01-01
1550,Quini,2024-06-30 00:00:00,400000.0,GR1,1989-09-24
1551,Ivan Ostojic,2024-06-30 00:00:00,250000.0,RU1,1989-06-26
1552,Fredrik Aursnes,2027-06-30 00:00:00,20000000.0,PO1,1995-12-10
1553,Munir El Haddadi,2024-06-30 00:00:00,2000000.0,ES1,1995-09-01
1554,Konrad Laimer,2027-06-30 00:00:00,28000000.0,L1,1997-05-27
1555,Patrick Pentz,2024-06-30 00:00:00,1500000.0,DK1,1997-01-02
1556,Stefan Posch,2026-06-30 00:00:00,14000000.0,IT1,1997-05-14
1557,Xaver Schlager,2026-06-30 00:00:00,28000000.0,L1,1997-09-28
1558,Olivier Ntcham,2026-06-30 00:00:00,3000000.0,TR1,1996-02-09
1559,Rostyslav Taranukha,2024-06-30 00:00:00,250000.0,UKR1,1997-01-26
1560,Abdul Rahman Baba,2026-06-30 00:00:00,1500000.0,GR1,1994-07-02
1561,Valentín Vada,2025-06-30 00:00:00,1500000.0,RU1,1996-03-06
1562,Mariano Díaz,2025-06-30 00:00:00,2000000.0,ES1,1993-08-01
1563,Gonçalo Guedes,2024-06-30 00:00:00,18000000.0,ES1,1996-11-29
1564,Rafael Barbosa,2025-06-30 00:00:00,500000.0,PO1,1996-03-29
1565,Danny Armstrong,2025-05-31 00:00:00,850000.0,SC1,1997-10-11
1566,Queensy Menig,2026-06-30 00:00:00,2800000.0,TR1,1995-08-19
1567,Alex Gogic,2024-05-31 00:00:00,450000.0,SC1,1994-04-13
1568,José Mari,2025-06-30 00:00:00,300000.0,ES1,1987-12-06
1569,Kerim Mrabti,2026-06-30 00:00:00,2000000.0,BE1,1994-05-20
1570,Philipp Lienhart,,20000000.0,L1,1996-07-11
1571,Lawrence Shankland,2025-05-31 00:00:00,1800000.0,SC1,1995-08-10
1572,Karol Linetty,2025-06-30 00:00:00,3500000.0,IT1,1995-02-02
1573,Lautaro Giannetti,2026-06-30 00:00:00,2800000.0,IT1,1993-11-13
1574,David Soria,,8000000.0,ES1,1993-04-04
1575,Luca Mazzitelli,2025-06-30 00:00:00,4000000.0,IT1,1995-11-15
1576,Ivo Grbic,2027-06-30 00:00:00,3500000.0,GB1,1996-01-18
1577,Alen Halilovic,2024-06-30 00:00:00,1300000.0,NL1,1996-06-18
1578,Mattheus,2024-06-30 00:00:00,700000.0,PO1,1994-07-07
1579,Sean Kelly,2024-05-31 00:00:00,350000.0,SC1,1993-11-01
1580,Carlinhos,2024-06-30 00:00:00,800000.0,PO1,1994-06-22
1581,Iver Fossum,2026-06-30 00:00:00,1000000.0,BE1,1996-07-15
1582,Morten Thorsby,2024-06-30 00:00:00,3200000.0,IT1,1996-05-05
1583,Andreas Gianniotis,2025-06-30 00:00:00,500000.0,TR1,1992-12-18
1584,Bevis Mugabi,2024-05-31 00:00:00,400000.0,SC1,1995-05-01
1585,Harrison Reed,2027-06-30 00:00:00,18000000.0,GB1,1995-01-27
1586,Younes Namli,2024-06-30 00:00:00,1300000.0,NL1,1994-06-20
1587,Joaquín Correa,2024-06-30 00:00:00,10000000.0,FR1,1994-08-13
1588,Benedikt Gimber,2025-06-30 00:00:00,2000000.0,L1,1997-02-19
1589,Matthias Köbbing,2025-06-30 00:00:00,100000.0,L1,1997-05-28
1590,Jordan Torunarigha,2025-06-30 00:00:00,6000000.0,BE1,1997-08-07
1591,Stefan Velkov,2024-06-30 00:00:00,350000.0,DK1,1996-12-12
1592,Igor Vujacic,2026-06-30 00:00:00,3500000.0,RU1,1994-08-08
1593,Jaume Doménech,2025-06-30 00:00:00,1000000.0,ES1,1990-11-05
1594,Jaime Mata,2024-06-30 00:00:00,1000000.0,ES1,1988-10-24
1595,Wendell,2025-06-30 00:00:00,5000000.0,PO1,1993-07-20
1596,Ridgeciano Haps,2024-06-30 00:00:00,1000000.0,IT1,1993-06-12
1597,David Simón,2024-06-30 00:00:00,150000.0,GR1,1988-12-16
1598,Wout Weghorst,2024-06-30 00:00:00,9000000.0,L1,1992-08-07
1599,Yuriy Dyupin,2024-06-30 00:00:00,600000.0,RU1,1988-03-17
1600,Carlitos,,300000.0,GR1,1990-06-12
1601,João Novais,2025-06-30 00:00:00,1500000.0,TR1,1993-07-10
1602,Thilo Kehrer,2024-06-30 00:00:00,9000000.0,FR1,1996-09-21
1603,Franck Honorat,2028-06-30 00:00:00,12000000.0,L1,1996-08-11
1604,Gerónimo Rulli,2026-06-30 00:00:00,8000000.0,NL1,1992-05-20
1605,Aritz Elustondo,2026-06-30 00:00:00,9000000.0,ES1,1994-03-28
1606,Ali Sowe,2024-06-30 00:00:00,2300000.0,TR1,1994-06-14
1607,Tom Lawrence,2025-05-31 00:00:00,3500000.0,SC1,1994-01-13
1608,Álvaro Lemos,2025-06-30 00:00:00,800000.0,ES1,1993-03-30
1609,Bruno Gaspar,2026-06-30 00:00:00,500000.0,PO1,1993-04-21
1610,Andrey Mendel,2024-06-30 00:00:00,600000.0,RU1,1995-04-17
1611,Diego Laxalt,2026-06-30 00:00:00,2800000.0,RU1,1993-02-07
1612,Erdal Rakip,2025-06-30 00:00:00,1200000.0,TR1,1996-02-13
1613,Thomas Partey,2025-06-30 00:00:00,25000000.0,GB1,1993-06-13
1614,Mortadha Ben Ouanes,2024-06-30 00:00:00,1500000.0,TR1,1994-07-02
1615,Ilya Lantratov,2026-06-30 00:00:00,3000000.0,RU1,1995-11-11
1616,Dusan Jovancic,2024-06-30 00:00:00,250000.0,GR1,1990-10-19
1617,Theofanis Tzandaris,,300000.0,GR1,1993-06-13
1618,Nélson Semedo,2025-06-30 00:00:00,15000000.0,GB1,1993-11-16
1619,Braydon Manu,2024-06-30 00:00:00,1500000.0,L1,1997-03-28
1620,Michael Brouwer,2025-06-30 00:00:00,650000.0,NL1,1993-01-21
1621,Igor Yurganov,2024-06-30 00:00:00,600000.0,RU1,1993-12-10
1622,Jonathan Menéndez,2024-06-30 00:00:00,1000000.0,GR1,1994-03-05
1623,Miloš Pantović,2025-06-30 00:00:00,1200000.0,BE1,1996-07-07
1624,Atakan Karazor,2026-06-30 00:00:00,8000000.0,L1,1996-10-13
1625,Ondrej Duda,2026-06-30 00:00:00,4000000.0,IT1,1994-12-05
1626,Nadiem Amiri,2026-06-30 00:00:00,4000000.0,L1,1996-10-27
1627,Luca Pfeiffer,2024-06-30 00:00:00,1700000.0,L1,1996-08-20
1628,Emiliano Marcondes,2024-05-31 00:00:00,1500000.0,SC1,1995-03-09
1629,Kortney Hause,2025-06-30 00:00:00,2000000.0,GB1,1995-07-16
1630,Stavros Vasilantonopoulos,,200000.0,GR1,1992-01-28
1631,Aïssa Laïdouni,2027-06-30 00:00:00,10000000.0,L1,1996-12-13
1632,Grischa Prömel,2026-06-30 00:00:00,7000000.0,L1,1995-01-09
1633,Simon Deli,2024-06-30 00:00:00,400000.0,TR1,1991-10-27
1634,Mahmoud Trezeguet,2026-06-30 00:00:00,9000000.0,TR1,1994-10-01
1635,Birger Verstraete,2025-06-30 00:00:00,1800000.0,GR1,1994-04-16
1636,André Onana,2028-06-30 00:00:00,40000000.0,GB1,1996-04-02
1637,Antonio Sanabria,2026-06-30 00:00:00,9500000.0,IT1,1996-03-04
1638,Panagiotis Deligiannidis,2024-06-30 00:00:00,250000.0,GR1,1996-08-29
1639,Maxwel Cornet,2027-06-30 00:00:00,10000000.0,GB1,1996-09-27
1640,Andrew Robertson,2026-06-30 00:00:00,35000000.0,GB1,1994-03-11
1641,Rui Silva,2026-06-30 00:00:00,15000000.0,ES1,1994-02-07
1642,Georgios Athanasiadis,2025-06-30 00:00:00,1500000.0,GR1,1993-04-07
1643,Rodolfo Pizarro,2025-06-30 00:00:00,2500000.0,GR1,1994-02-15
1644,Luuk Koopmans,2025-06-30 00:00:00,200000.0,NL1,1993-11-18
1645,Wolke Janssens,2026-06-30 00:00:00,500000.0,BE1,1995-01-11
1646,Dario Van den Buijs,2025-06-30 00:00:00,650000.0,NL1,1995-09-12
1647,Jordi Vanlerberghe,2027-06-30 00:00:00,1500000.0,DK1,1996-06-27
1648,Dmitriy Chistyakov,2024-06-30 00:00:00,2000000.0,RU1,1994-01-13
1649,Maksim Rudakov,2025-06-30 00:00:00,450000.0,RU1,1996-01-22
1650,Alhaji Kamara,2025-12-31 00:00:00,300000.0,DK1,1994-04-16
1651,John Souttar,2026-05-31 00:00:00,1500000.0,SC1,1996-09-25
1652,Mark O'Hara,2026-05-31 00:00:00,700000.0,SC1,1995-12-12
1653,Alessandro Deiola,2025-06-30 00:00:00,1600000.0,IT1,1995-08-01
1654,Alexis Blin,2025-06-30 00:00:00,2500000.0,IT1,1996-09-16
1655,Brandon Mechele,2025-06-30 00:00:00,4000000.0,BE1,1993-01-28
1656,Léo Dubois,2024-06-30 00:00:00,3500000.0,TR1,1994-09-14
1657,Artem Shabanov,2025-06-30 00:00:00,300000.0,UKR1,1992-03-07
1658,Ola Aina,2024-06-30 00:00:00,8000000.0,GB1,1996-10-08
1659,Sheyi Ojo,2024-06-30 00:00:00,1500000.0,BE1,1997-06-19
1660,Fernando Andrade,2025-06-30 00:00:00,400000.0,PO1,1993-01-08
1661,Timo Hübers,2026-06-30 00:00:00,7500000.0,L1,1996-07-20
1662,Tiago Silva,2026-06-30 00:00:00,2000000.0,PO1,1993-06-02
1663,Matthias Bader,2025-06-30 00:00:00,2500000.0,L1,1997-06-17
1664,Ihlas Bebou,2026-06-30 00:00:00,4000000.0,L1,1994-04-23
1665,Marvin Mehlem,2025-06-30 00:00:00,3000000.0,L1,1997-09-11
1666,Mathias Greve,2025-06-30 00:00:00,800000.0,DK1,1995-02-11
1667,Aleksandar Sedlar,2025-06-30 00:00:00,500000.0,ES1,1991-12-13
1668,Cristian Herrera,2024-06-30 00:00:00,400000.0,ES1,1991-03-13
1669,Oleksandr Filippov,2024-06-30 00:00:00,400000.0,UKR1,1992-10-23
1670,Amr Warda,2024-06-30 00:00:00,1000000.0,GR1,1993-09-17
1671,Michel Aebischer,2026-06-30 00:00:00,6000000.0,IT1,1997-01-06
1672,Breel Embolo,2026-06-30 00:00:00,12000000.0,FR1,1997-02-14
1673,Silvan Hefti,2024-06-30 00:00:00,2500000.0,FR1,1997-10-25
1674,Sotiris Tsiloulis,,350000.0,GR1,1995-02-14
1675,Liam Gordon,2024-05-31 00:00:00,500000.0,SC1,1996-01-26
1676,Rafa,2024-06-30 00:00:00,18000000.0,PO1,1993-05-17
1677,Renato Gojkovic,2024-06-30 00:00:00,1500000.0,RU1,1995-09-10
1678,Ederson,2026-06-30 00:00:00,40000000.0,GB1,1993-08-17
1679,Duje Caleta-Car,2024-06-30 00:00:00,7000000.0,FR1,1996-09-17
1680,Cassiano,2025-06-30 00:00:00,200000.0,PO1,1989-06-16
1681,Alexander Sørloth,2028-06-30 00:00:00,14000000.0,ES1,1995-12-05
1682,Drey Wright,2024-05-31 00:00:00,400000.0,SC1,1995-04-30
1683,Dave Richards,2024-05-31 00:00:00,100000.0,SC1,1993-12-31
1684,Wladimiro Falcone,2028-06-30 00:00:00,5000000.0,IT1,1995-04-12
1685,Laurent Abergel,2026-06-30 00:00:00,3000000.0,FR1,1993-02-01
1686,Jaime Báez,2024-06-30 00:00:00,1200000.0,IT1,1995-04-25
1687,Florent Hadergjonaj,2025-06-30 00:00:00,2000000.0,TR1,1994-07-31
1688,Georgios Mygas,2024-06-30 00:00:00,350000.0,GR1,1994-04-07
1689,Rubén Peña,2025-06-30 00:00:00,2500000.0,ES1,1991-07-18
1690,Simone Scuffet,2026-06-30 00:00:00,2000000.0,IT1,1996-05-31
1691,Ivan Näsberg,2025-06-30 00:00:00,600000.0,GR1,1996-04-22
1692,Aiyegun Tosin,2027-06-30 00:00:00,4000000.0,FR1,1998-06-26
1693,Przemyslaw Frankowski,2028-06-30 00:00:00,9000000.0,FR1,1995-04-12
1694,Adam Marusic,2025-06-30 00:00:00,5000000.0,IT1,1992-10-17
1695,Denis Vavro,2026-06-30 00:00:00,4000000.0,DK1,1996-04-10
1696,Lorenzo Venuti,2025-06-30 00:00:00,1500000.0,IT1,1995-04-12
1697,Bernard Berisha,2025-06-30 00:00:00,1000000.0,RU1,1991-10-24
1698,Frederic Ananou,,600000.0,BE1,1997-09-20
1699,Bruno Fernandes,2026-06-30 00:00:00,70000000.0,GB1,1994-09-08
1700,Cristiano Lombardi,2024-06-30 00:00:00,125000.0,IT1,1995-08-19
1701,Samúel Fridjónsson,2024-06-30 00:00:00,500000.0,GR1,1996-02-22
1702,Alex Meret,2024-06-30 00:00:00,15000000.0,IT1,1997-03-22
1703,Moryké Fofana,2024-06-30 00:00:00,325000.0,TR1,1991-11-23
1704,Luiz Phellype,2024-06-30 00:00:00,1200000.0,GR1,1993-09-27
1705,Simone Perilli,2024-06-30 00:00:00,200000.0,IT1,1995-01-07
1706,Reinildo Mandava,2025-06-30 00:00:00,16000000.0,ES1,1994-01-21
1707,Anas Ouahim,2025-06-30 00:00:00,700000.0,NL1,1997-09-23
1708,Emmanuel Gyasi,2025-06-30 00:00:00,2000000.0,IT1,1994-01-11
1709,Clinton N'Jie,2024-06-30 00:00:00,1200000.0,TR1,1993-08-15
1710,Ufuk Akyol,2024-06-30 00:00:00,900000.0,TR1,1997-08-27
1711,Bilal Ould-Chikh,2025-06-30 00:00:00,500000.0,NL1,1997-07-28
1712,Jordy Bruijn,2026-06-30 00:00:00,500000.0,NL1,1996-07-23
1713,Damian van Bruggen,2024-06-30 00:00:00,550000.0,NL1,1996-03-18
1714,Jairo Riedewald,2024-06-30 00:00:00,2000000.0,GB1,1996-09-09
1715,Finn Stokkers,2025-06-30 00:00:00,400000.0,NL1,1996-04-18
1716,Stijn Spierings,2024-06-30 00:00:00,5000000.0,FR1,1996-03-12
1717,Federico Bonazzoli,2024-06-30 00:00:00,3000000.0,IT1,1997-05-21
1718,Bernardo Silva,2026-06-30 00:00:00,80000000.0,GB1,1994-08-10
1719,Lorenzo Montipò,2025-06-30 00:00:00,4000000.0,IT1,1996-02-20
1720,Florian Loshaj,2027-06-30 00:00:00,650000.0,TR1,1996-08-13
1721,Vaclav Cerny,2027-06-30 00:00:00,8000000.0,L1,1997-10-17
1722,Patrik Schick,2027-06-30 00:00:00,22000000.0,L1,1996-01-24
1723,Yevgen Banada,2024-12-31 00:00:00,150000.0,UKR1,1992-02-29
1724,Pedro Chirivella,2026-06-30 00:00:00,7000000.0,FR1,1997-05-23
1725,Juan Musso,2025-06-30 00:00:00,8000000.0,IT1,1994-05-06
1726,Josh Cullen,2026-06-30 00:00:00,13000000.0,GB1,1996-04-07
1727,Alex Iwobi,2028-06-30 00:00:00,28000000.0,GB1,1996-05-03
1728,Paschalis Staikos,2024-06-30 00:00:00,350000.0,GR1,1996-02-08
1729,Kyriakos Kivrakidis,2024-06-30 00:00:00,250000.0,GR1,1992-07-21
1730,Dmytro Yusov,2024-06-30 00:00:00,400000.0,UKR1,1993-05-11
1731,Kosmas Tsilianidis,,200000.0,GR1,1994-05-09
1732,Lawrence Vigouroux,2026-06-30 00:00:00,300000.0,GB1,1993-11-19
1733,Kingsley Coman,2027-06-30 00:00:00,65000000.0,L1,1996-06-13
1734,Olivier Kemen,2027-06-30 00:00:00,2400000.0,TR1,1996-07-20
1735,David Sambissa,2026-06-30 00:00:00,300000.0,TR1,1996-01-11
1736,Stefan Gartenmann,2024-06-30 00:00:00,700000.0,SC1,1997-02-02
1737,Oleg Tarasenko,2024-06-30 00:00:00,100000.0,UKR1,1990-06-23
1738,Pierluigi Gollini,2024-06-30 00:00:00,4500000.0,IT1,1995-03-18
1739,Christian Burgess,2025-06-30 00:00:00,2000000.0,BE1,1991-10-07
1740,Greg Kiltie,2025-05-31 00:00:00,500000.0,SC1,1997-01-18
1741,Robby McCrorie,2025-05-31 00:00:00,500000.0,SC1,1998-03-18
1742,Denys Miroshnichenko,2025-06-30 00:00:00,800000.0,UKR1,1994-10-11
1743,Oleksandr Svatok,2025-12-31 00:00:00,2000000.0,UKR1,1994-09-27
1744,Pelly Ruddock Mpanzu,2025-06-30 00:00:00,1500000.0,GB1,1994-03-22
1745,Stefano Gori,2024-06-30 00:00:00,700000.0,IT1,1996-03-09
1746,Artur Avagimyan,2024-06-30 00:00:00,400000.0,UKR1,1997-01-16
1747,Salih Özcan,2026-06-30 00:00:00,13000000.0,L1,1998-01-11
1748,Enis Bardhi,2025-06-30 00:00:00,6000000.0,TR1,1995-07-02
1749,Sergiy Chobotenko,2026-06-30 00:00:00,800000.0,UKR1,1997-01-16
1750,Milan Gajic,2025-06-30 00:00:00,5000000.0,RU1,1996-01-28
1751,Vasyl Kravets,2026-06-30 00:00:00,1200000.0,UKR1,1997-08-20
1752,Sasa Lukic,2027-06-30 00:00:00,10000000.0,GB1,1996-08-13
1753,Stipe Perica,2025-06-30 00:00:00,500000.0,BE1,1995-07-07
1754,Nemanja Radonjic,2024-06-30 00:00:00,3000000.0,ES1,1996-02-15
1755,Tarik Tissoudali,2026-06-30 00:00:00,6500000.0,BE1,1993-04-02
1756,Nabil Bentaleb,2026-06-30 00:00:00,8000000.0,FR1,1994-11-24
1757,Takuma Asano,2024-06-30 00:00:00,4000000.0,L1,1994-11-10
1758,Diego Llorente,2024-06-30 00:00:00,8000000.0,IT1,1993-08-16
1759,Carlton Morris,,13000000.0,GB1,1995-12-16
1760,Ayoze Pérez,2027-06-30 00:00:00,7000000.0,ES1,1993-07-29
1761,Rubén Alcaraz,2025-06-30 00:00:00,2000000.0,ES1,1991-05-01
1762,Kevin Bonifazi,2024-06-30 00:00:00,2500000.0,IT1,1996-05-19
1763,Arianit Ferati,2024-06-30 00:00:00,500000.0,NL1,1997-09-07
1764,Edimilson Fernandes,2026-06-30 00:00:00,5500000.0,L1,1996-04-15
1765,Dan Glazer,2025-06-30 00:00:00,1200000.0,GR1,1996-09-20
1766,Shon Weissman,2024-06-30 00:00:00,2000000.0,IT1,1996-02-14
1767,Jonas Omlin,2027-06-30 00:00:00,9000000.0,L1,1994-01-10
1768,Christopher Martins Pereira,2026-06-30 00:00:00,4500000.0,RU1,1997-02-19
1769,Oğulcan Çağlayan,2026-06-30 00:00:00,275000.0,TR1,1996-03-22
1770,Umut Nayir,2024-06-30 00:00:00,1000000.0,TR1,1993-06-28
1771,Fabijan Buntic,2025-06-30 00:00:00,800000.0,PO1,1997-02-24
1772,Pawel Bochniewicz,2026-06-30 00:00:00,3500000.0,NL1,1996-01-30
1773,Vasilios Barkas,2024-06-30 00:00:00,2500000.0,NL1,1994-05-30
1774,Pawel Dawidowicz,2025-06-30 00:00:00,2800000.0,IT1,1995-05-20
1775,Sergio Herrera,2026-06-30 00:00:00,6000000.0,ES1,1993-06-05
1776,Oleksandr Kapliyenko,2024-06-30 00:00:00,500000.0,UKR1,1996-03-07
1777,Valeriy Luchkevych,2025-06-30 00:00:00,600000.0,UKR1,1996-01-11
1778,Pavlo Lukyanchuk,2024-06-30 00:00:00,300000.0,UKR1,1996-05-19
1779,Pavlo Orikhovskyi,2025-12-31 00:00:00,400000.0,UKR1,1996-05-13
1780,Maksym Tretyakov,2026-06-30 00:00:00,600000.0,UKR1,1996-03-06
1781,Lucas Höler,,5000000.0,L1,1994-07-10
1782,Lewis Cook,2025-06-30 00:00:00,10000000.0,GB1,1997-02-03
1783,Fredrik Jensen,2025-06-30 00:00:00,3500000.0,L1,1997-09-09
1784,Saeid Ezatolahi,2024-06-30 00:00:00,350000.0,DK1,1996-10-01
1785,Dennis Eckert Ayensa,2025-06-30 00:00:00,1800000.0,BE1,1997-01-09
1786,Ali Alipour,2024-06-30 00:00:00,1200000.0,PO1,1995-11-11
1787,Diego Rico,2024-06-30 00:00:00,3500000.0,ES1,1993-02-23
1788,Senna Miangue,2025-06-30 00:00:00,500000.0,BE1,1997-02-05
